engine,shard size (MB),chunk size (MB),throughput (MB/s)
zarr-python,0.25,0.03125, 49.9785991754248
zarr-python,0.25,0.25, 69.87013160086623
zarr-python,2.0,0.03125, 92.59971299260404
zarr-python,2.0,0.25, 282.3401433812393
zarr-python,2.0,2.0, 316.77238827105714
zarr-python,16.0,0.03125, 120.93408611315844
zarr-python,16.0,0.25, 450.55381258497124
zarr-python,16.0,2.0, 632.4133986081204
zarr-python,128.0,0.03125, 94.92471155486757
zarr-python,128.0,0.25, 533.6248719042067
zarr-python,128.0,2.0, 865.4748270850747
zarr-python,1024.0,0.03125, 56.230867764697386
zarr-python,1024.0,0.25, 452.34465829024003
zarr-python,1024.0,2.0, 902.0591144106354
tensorstore,0.25,0.03125, 28.574278200918343
tensorstore,0.25,0.25, 51.422210234656596
tensorstore,2.0,0.03125, 252.34208705592155
tensorstore,2.0,0.25, 216.10655125331684
tensorstore,2.0,2.0, 292.3878703380969
tensorstore,16.0,0.03125, 1069.472489820636
tensorstore,16.0,0.25, 506.12865735241434
tensorstore,16.0,2.0, 539.8161489084445
tensorstore,128.0,0.03125, 1815.608559423059
tensorstore,128.0,0.25, 1112.4575724359147
tensorstore,128.0,2.0, 858.133952233443
tensorstore,1024.0,0.03125, 1963.6685613126458
tensorstore,1024.0,0.25, 1548.6774467937805
tensorstore,1024.0,2.0, 1421.1562628632994
